Index,Cu,Pd,Pt,Ru
260,0.0,51.09,36.11,12.8
261,1.5,92.23,5.21,1.07
262,1.16,91.07,5.87,1.9
263,1.63,90.08,6.49,1.81
264,1.26,89.07,7.51,2.15
265,1.03,88.48,8.41,2.08
266,1.77,86.45,9.23,2.55
267,1.26,85.8,10.46,2.47
268,1.6,84.17,11.5,2.73
269,0.9,82.48,13.15,3.46
270,1.34,80.56,14.49,3.61
271,1.16,78.43,16.16,4.25
272,1.13,75.65,17.88,5.35
273,0.0,73.44,20.51,6.05
274,1.34,69.87,22.92,5.88
275,1.15,65.94,25.56,7.35
276,1.71,61.82,28.62,7.86
277,1.42,58.23,30.85,9.49
278,0.0,55.54,34.58,9.88
279,2.77,49.85,36.69,10.69
280,1.49,91.2,5.84,1.47
281,1.26,90.25,6.72,1.78
282,1.17,89.88,7.26,1.7
283,0.9,88.28,8.59,2.23
284,1.12,86.78,9.34,2.76
285,1.29,85.51,10.46,2.73
286,1.18,84.0,11.85,2.97
287,1.31,82.56,13.02,3.11
288,1.0,80.97,14.39,3.63
289,1.25,78.65,16.12,3.97
290,1.32,75.7,17.93,5.04
291,1.26,72.65,20.18,5.92
292,1.43,69.6,23.68,5.3
293,0.0,66.3,26.73,6.97
294,0.0,62.52,29.09,8.39
295,1.66,58.04,31.99,8.31
296,1.83,53.67,35.14,9.36
297,0.93,90.93,6.71,1.43
298,0.8,90.06,7.43,1.71
299,1.08,88.45,8.67,1.79
300,1.08,87.39,9.3,2.23
301,1.59,85.92,10.71,1.78
302,0.95,84.5,11.92,2.62
303,1.38,82.35,13.23,3.04
304,1.2,80.85,14.58,3.37
305,1.33,78.46,16.62,3.58
306,0.89,75.81,18.82,4.47
307,0.0,73.96,21.61,4.42
308,1.18,69.98,23.42,5.42
309,1.7,66.02,26.59,5.69
310,1.55,62.56,29.63,6.26
311,1.51,58.73,33.33,6.43
312,1.09,89.51,7.73,1.68
313,0.66,88.94,8.66,1.74
314,0.77,87.97,9.57,1.69
315,0.91,86.44,10.63,2.02
316,1.49,84.48,12.14,1.89
317,1.41,82.62,13.12,2.85
318,0.86,81.34,15.11,2.69
319,0.0,79.97,17.17,2.86
320,0.98,76.81,18.98,3.23
321,1.14,73.19,21.36,4.31
322,0.0,70.61,24.76,4.63
323,1.24,66.17,27.08,5.51
324,0.0,62.53,31.34,6.14
325,0.75,89.31,8.53,1.41
326,0.0,88.46,9.97,1.57
327,0.84,86.8,10.91,1.45
328,0.0,85.69,12.53,1.78
329,0.0,84.02,13.76,2.22
330,0.0,81.97,15.35,2.69
331,0.0,79.78,17.41,2.8
332,0.0,77.28,19.95,2.77
333,0.0,74.55,22.31,3.14
334,0.0,70.26,25.8,3.94
335,1.8,65.83,27.62,4.75
336,0.0,87.17,11.19,1.64
337,0.76,85.11,12.38,1.75
338,0.87,83.21,13.86,2.07
339,0.0,82.02,15.42,2.56
340,0.0,79.71,17.84,2.45
341,0.0,76.38,20.41,3.21
342,1.61,71.25,22.71,4.43
