Index,Ir,Pd,Pt,Ru
131,24.61,10.75,22.13,42.51
132,23.11,10.13,22.36,44.4
133,19.59,9.27,23.54,47.6
134,18.66,8.07,24.22,49.05
135,16.72,7.54,24.96,50.79
136,14.81,7.08,25.58,52.52
137,44.03,32.38,10.67,12.92
138,42.91,31.06,11.5,14.53
139,42.15,29.95,12.28,15.61
140,40.78,28.25,13.49,17.48
141,39.05,27.33,14.47,19.15
142,37.77,25.64,15.44,21.15
143,37.15,24.51,15.81,22.53
144,36.32,22.59,16.48,24.62
145,34.33,21.66,17.48,26.53
146,32.87,20.44,18.27,28.42
147,31.95,18.21,19.15,30.69
148,29.51,17.3,19.98,33.21
149,28.41,16.05,20.78,34.76
150,26.42,14.38,22.06,37.13
151,24.51,13.32,23.11,39.06
152,22.71,12.42,23.7,41.17
153,21.38,10.3,24.87,43.45
154,19.02,9.67,25.67,45.65
155,17.19,8.72,26.22,47.87
156,15.54,8.45,27.19,48.82
157,14.05,7.13,27.5,51.32
158,41.59,34.07,11.76,12.58
159,41.26,32.89,12.7,13.15
160,39.68,31.94,13.47,14.91
161,38.47,31.12,14.29,16.12
162,37.11,28.56,15.49,18.84
163,36.18,27.84,16.25,19.73
164,35.56,25.59,16.86,21.98
165,33.83,24.49,18.11,23.58
166,32.43,23.65,18.75,25.17
167,31.17,21.67,19.7,27.45
168,29.79,20.24,20.44,29.53
169,28.55,19.31,21.18,30.96
170,27.02,16.71,22.38,33.89
171,25.67,16.01,23.02,35.3
172,23.72,14.27,24.78,37.23
173,21.96,13.3,25.28,39.46
174,20.19,11.45,26.51,41.84
175,17.87,10.63,28.11,43.39
176,16.22,9.55,28.14,46.09
