Index,Ni,Pd,Pt,Ru
238,5.04,1.68,87.68,5.6
239,4.56,1.97,87.36,6.11
240,5.13,1.56,87.73,5.58
241,5.01,1.64,87.44,5.9
242,14.27,11.95,70.61,3.17
243,13.23,10.36,72.0,4.41
244,13.16,9.37,74.28,3.19
245,11.57,8.8,75.64,3.99
246,10.41,7.92,77.22,4.45
247,9.73,6.95,79.06,4.26
248,9.65,5.87,80.62,3.86
249,8.77,5.65,81.58,4.0
250,7.5,5.66,82.56,4.28
251,7.71,4.46,83.22,4.61
252,6.88,4.41,83.92,4.79
253,6.72,3.65,85.39,4.24
254,6.32,3.55,85.1,5.04
255,5.51,3.84,85.35,5.3
256,5.87,2.49,87.17,4.47
257,4.82,1.9,88.08,5.19
258,4.61,2.6,87.44,5.35
259,5.75,1.62,87.46,5.16
260,4.33,1.69,88.55,5.43
261,12.66,12.19,71.33,3.82
262,12.37,10.27,74.1,3.27
263,11.28,8.9,75.88,3.93
264,10.55,8.37,77.19,3.9
265,9.66,8.14,78.98,3.22
266,8.29,7.35,80.68,3.68
267,8.6,6.6,81.2,3.59
268,8.12,6.15,81.78,3.94
269,7.22,5.08,83.57,4.13
270,7.02,4.87,83.88,4.23
271,6.53,4.5,84.4,4.57
272,5.63,4.01,86.12,4.24
273,5.54,3.71,86.31,4.44
274,5.43,3.4,86.83,4.34
275,5.79,2.23,88.12,3.86
276,4.97,2.31,87.82,4.9
277,5.25,2.29,87.95,4.51
278,4.34,1.73,89.38,4.55
279,4.78,1.79,89.16,4.26
280,11.22,11.11,74.62,3.05
281,10.85,10.85,74.97,3.32
282,9.54,8.99,78.53,2.94
283,9.17,7.91,80.13,2.79
284,8.47,7.14,80.78,3.62
285,8.26,6.66,81.8,3.29
286,7.25,6.1,83.28,3.38
287,6.62,5.62,84.3,3.46
288,6.61,5.64,84.37,3.38
289,5.61,4.07,86.56,3.76
290,6.0,4.12,86.36,3.52
291,5.96,3.35,86.82,3.87
292,5.85,3.37,87.05,3.73
293,4.6,3.07,88.35,3.97
294,3.77,2.51,89.44,4.28
295,5.26,2.38,88.34,4.03
296,5.11,1.89,89.43,3.57
297,9.4,10.58,76.89,3.13
298,9.29,8.91,78.8,3.0
299,8.15,8.06,81.14,2.65
300,7.42,7.51,81.57,3.5
301,7.14,6.62,83.58,2.67
302,7.03,6.19,82.8,3.98
303,6.56,5.22,84.9,3.32
304,6.14,5.18,85.81,2.87
305,6.17,4.63,85.97,3.23
306,5.9,4.28,87.01,2.8
307,5.35,2.83,88.46,3.36
308,4.65,3.42,88.65,3.27
309,4.78,2.92,88.59,3.71
310,4.09,2.49,89.62,3.8
311,4.55,2.34,89.49,3.62
312,7.96,9.83,79.94,2.26
313,7.31,8.85,81.42,2.41
314,7.26,7.79,81.95,3.01
315,6.48,7.1,83.21,3.2
316,7.09,5.94,84.42,2.56
317,6.05,4.89,85.88,3.18
318,5.39,5.0,86.49,3.12
319,4.95,4.56,87.25,3.25
320,5.73,4.48,87.59,2.2
321,5.32,3.77,88.17,2.73
322,4.8,2.71,89.71,2.78
323,4.95,2.72,89.53,2.8
324,4.98,2.01,90.04,2.97
325,7.23,9.24,80.51,3.02
326,6.31,8.14,82.45,3.11
327,6.89,6.97,83.67,2.47
328,5.94,6.4,85.2,2.47
329,4.97,5.77,86.86,2.4
330,5.17,4.77,87.48,2.58
331,5.12,4.73,87.35,2.79
332,5.17,4.41,87.77,2.66
333,4.79,3.88,88.6,2.74
334,5.0,3.04,89.36,2.61
335,4.23,2.45,89.6,3.71
336,5.91,7.0,84.64,2.45
337,5.3,6.82,85.27,2.61
338,5.74,5.65,85.95,2.66
339,4.92,6.05,86.53,2.5
340,4.92,4.27,88.15,2.66
341,4.57,3.89,88.55,2.99
342,5.67,3.63,88.44,2.27
