Index,Ni,Pd,Pt,Ru
266,10.07,13.63,30.81,45.49
267,9.53,11.98,31.1,47.38
268,8.28,10.71,31.5,49.5
269,7.84,10.3,31.34,50.52
270,7.43,8.99,30.88,52.7
271,6.81,7.82,31.06,54.31
272,6.52,7.63,30.78,55.07
273,5.93,6.06,31.13,56.88
274,5.47,6.03,31.64,56.85
275,4.91,5.25,30.95,58.9
276,4.72,4.12,31.12,60.04
277,5.28,3.55,30.72,60.45
278,4.63,3.33,31.17,60.87
279,4.58,3.1,31.16,61.15
280,12.7,19.34,30.51,37.45
281,11.89,18.39,31.26,38.47
282,11.82,15.64,32.73,39.81
283,9.54,15.22,33.59,41.65
284,10.01,13.67,33.11,43.22
285,9.09,12.95,33.69,44.27
286,8.15,11.29,33.5,47.07
287,7.97,9.82,33.75,48.46
288,7.55,9.55,33.62,49.28
289,7.17,7.93,33.63,51.27
290,6.14,7.97,33.56,52.33
291,5.77,6.37,33.84,54.01
292,5.97,6.01,34.22,53.81
293,5.73,5.12,33.56,55.59
294,5.21,4.6,34.03,56.16
295,4.28,3.86,34.34,57.52
296,4.3,3.26,34.11,58.33
297,11.13,18.83,33.83,36.21
298,10.4,17.05,34.25,38.3
299,9.61,15.96,34.78,39.65
300,9.23,14.05,35.77,40.95
301,8.86,13.51,35.06,42.56
302,8.3,12.36,35.46,43.88
303,8.27,10.93,36.0,44.8
304,7.2,9.49,36.43,46.87
305,6.49,8.74,36.04,48.74
306,6.59,8.23,36.32,48.86
307,6.03,7.38,35.87,50.72
308,5.99,5.82,36.39,51.79
309,5.63,5.7,36.89,51.78
310,5.53,4.43,36.96,53.08
311,5.18,4.58,36.72,53.52
312,9.78,18.86,35.96,35.4
313,9.35,16.82,37.04,36.79
314,9.1,15.19,37.29,38.42
315,8.1,13.96,38.18,39.76
316,7.6,13.14,38.71,40.55
317,7.25,11.86,38.39,42.51
318,7.08,9.93,39.59,43.4
319,6.27,9.29,39.13,45.3
320,6.3,8.76,39.06,45.88
321,6.51,7.1,39.57,46.83
322,5.03,6.16,40.26,48.55
323,5.45,5.47,40.35,48.73
324,5.0,4.85,40.19,49.96
325,9.08,16.48,39.23,35.21
326,9.42,14.5,39.74,36.34
327,7.63,13.82,40.93,37.62
328,7.24,12.64,40.66,39.47
329,7.32,11.4,41.39,39.89
330,6.82,11.03,41.59,40.56
331,6.37,9.59,41.91,42.13
332,6.26,8.62,42.26,42.86
333,5.42,7.1,43.5,43.98
334,5.75,6.26,43.05,44.94
335,5.17,5.75,43.65,45.43
336,7.93,14.1,42.84,35.13
337,7.52,13.12,42.8,36.57
338,6.63,12.23,43.62,37.52
339,6.48,11.3,45.07,37.15
340,6.64,9.59,44.92,38.85
341,5.78,8.4,46.11,39.71
342,5.19,7.32,46.23,41.25
