Index,Ni,Pd,Pt,Ru
248,18.06,46.63,19.04,16.27
249,16.45,45.8,20.65,17.11
250,15.74,42.84,22.15,19.26
251,14.87,41.16,23.69,20.28
252,13.13,39.09,24.86,22.92
253,12.65,36.71,26.7,23.94
254,11.29,35.04,27.48,26.19
255,10.42,32.24,29.36,27.98
256,9.54,29.24,31.49,29.73
257,8.59,26.81,33.47,31.14
258,8.61,24.92,34.09,32.38
259,7.2,22.23,36.23,34.34
260,8.04,19.48,37.57,34.91
261,19.43,61.22,11.43,7.91
262,18.53,59.19,12.97,9.31
263,18.36,57.09,14.79,9.77
264,18.54,54.32,15.88,11.26
265,16.76,53.56,17.06,12.63
266,16.03,52.2,18.48,13.29
267,15.76,49.21,19.96,15.07
268,15.35,47.51,20.85,16.3
269,14.29,45.22,22.88,17.6
270,13.52,42.95,24.45,19.07
271,13.34,40.09,25.72,20.85
272,11.25,38.89,27.53,22.33
273,11.04,35.88,29.45,23.63
274,10.2,33.65,30.7,25.46
275,9.62,30.95,32.8,26.62
276,9.2,27.88,34.67,28.26
277,8.51,25.82,36.2,29.47
278,7.12,22.99,38.31,31.58
279,6.51,20.89,40.1,32.49
280,17.03,61.49,13.55,7.93
281,16.49,58.77,15.18,9.56
282,16.26,57.44,16.3,10.0
283,15.34,55.6,17.7,11.36
284,14.11,53.77,19.31,12.81
285,14.42,51.37,20.72,13.49
286,13.02,49.59,22.24,15.15
287,12.31,48.03,23.19,16.47
288,11.8,45.48,25.22,17.51
289,11.13,42.38,26.75,19.74
290,9.48,41.29,28.69,20.54
291,9.98,38.32,29.91,21.8
292,8.81,35.96,32.25,22.99
293,8.23,32.95,33.9,24.92
294,8.17,29.47,36.11,26.25
295,6.57,27.01,38.5,27.92
296,6.49,25.53,39.81,28.16
297,14.62,61.89,15.08,8.41
298,14.88,59.43,16.5,9.19
299,13.63,57.48,18.23,10.66
300,13.04,55.33,19.71,11.92
301,12.67,53.9,21.11,12.32
302,12.03,51.41,22.84,13.72
303,10.91,50.1,24.64,14.34
304,11.29,46.92,26.02,15.77
305,9.57,45.13,27.74,17.56
306,9.49,42.27,29.68,18.56
307,9.0,39.36,32.13,19.51
308,8.36,36.49,33.05,22.11
309,7.67,33.63,36.08,22.62
310,6.77,31.24,38.35,23.64
311,7.18,27.79,40.25,24.79
312,12.85,62.0,16.47,8.69
313,13.0,59.95,17.93,9.11
314,11.56,57.87,20.21,10.36
315,10.85,56.19,21.41,11.55
